"","Player","Rk","Pk","Tm","College","Yrs","G","MP","PTS","TRB","AST","FG_percent","X3P_percent","FT_percent","MP_PG","PTS_PG","TRB_PG","AST_PG","WS","WS_48","BPM","VORP","Year","Rank","COL_G_PG","COL_GS_PG","COL_MP_PG","COL_FG_PG","COL_FGA_PG","COL_FG%_PG","COL_2P_PG","COL_2PA_PG","COL_2P%_PG","COL_3P_PG","COL_3PA_PG","COL_3P%_PG","COL_FT_PG","COL_FTA_PG","COL_FT%_PG","COL_ORB_PG","COL_DRB_PG","COL_TRB_PG","COL_AST_PG","COL_STL_PG","COL_BLK_PG","COL_TOV_PG","COL_PF_PG","COL_PTS_PG","COL_SOS_PG","COL_Years"
"1","Anthony Bennett",1,"1","CLE","UNLV","4","151","1905","658","472","77",".392",".261",".670","12.6","4.4","3.1","0.5","0.5",".013","-4.8","-1.3",2013,1,35,31,27.1,5.8,10.8,0.533,4.7,8.1,0.587,1,2.7,0.375,3.5,5.1,0.701,2.5,5.7,8.1,1,0.7,1.2,1.9,2.3,16.1,5.6,1
"2","Victor Oladipo",2,"2","ORL","Indiana","10","504","16247","8503","2245","1970",".436",".347",".788","32.2","16.9","4.5","3.9","25.6",".076","0.7","11.0",2013,2,104,75,24.6,3.9,7.3,0.538,3.4,5.9,0.585,0.5,1.4,0.338,2.5,3.5,0.716,2,3.2,5.2,1.7,1.5,0.5,2,2.4,10.7,7.95,3
"3","Otto Porter Jr.",3,"3","WAS","Georgetown","11","527","13400","5419","2599","783",".477",".397",".797","25.4","10.3","4.9","1.5","36.7",".132","1.7","12.5",2013,3,64,38,32.5,4.6,9.2,0.498,3.7,6.8,0.55,0.9,2.4,0.355,2.8,3.8,0.751,1.9,5.3,7.1,2.1,1.5,0.9,1.3,2,12.8,7.65,2
"4","Cody Zeller",4,"4","CHA","Indiana","11","552","11510","4376","3125","740",".520",".220",".727","20.9","7.9","5.7","1.3","33.5",".140","-0.7","3.9",2013,4,72,72,29,5.5,9.4,0.592,5.5,9.3,0.594,0,0,0,5,6.6,0.756,2.6,4.7,7.3,1.3,1.2,1.2,2,2.5,16.1,8.09,2
"5","Alex Len",5,"5","PHO","Maryland","11","644","11374","4534","3529","551",".510",".324",".681","17.7","7.0","5.5","0.9","23.2",".098","-1.9","0.4",2013,5,60,48,24.5,3.8,7,0.538,3.7,6.8,0.548,0,0.2,0.111,2.2,3.3,0.663,2.4,4.5,7,0.8,0.2,2.1,1.6,2.6,9.7,5.33,2
"6","Nerlens Noel",6,"6","NOH","Kentucky","9","467","10281","3338","2835","501",".546",".200",".655","22.0","7.1","6.1","1.1","28.3",".132","0.9","7.4",2013,6,24,24,31.9,4.1,6.9,0.59,4.1,6.9,0.59,0,0,0,2.3,4.3,0.529,2.7,6.8,9.5,1.6,2.1,4.4,1.9,2.6,10.5,5.81,1
"7","Ben McLemore",7,"7","SAC","Kansas","9","556","12534","5015","1269","563",".414",".363",".780","22.5","9.0","2.3","1.0","9.0",".035","-3.1","-3.4",2013,7,37,36,32.2,5.4,10.8,0.495,3.4,6.1,0.553,2,4.7,0.42,3.2,3.7,0.87,1.3,3.9,5.2,2,1,0.7,2.1,1.9,15.9,7.55,1
"8","Kentavious Caldwell-Pope",8,"8","DET","Georgia","11","835","24757","9499","2539","1516",".427",".369",".819","29.6","11.4","3.0","1.8","43.9",".085","-0.9","7.0",2013,8,64,60,33,5.3,12.7,0.415,3,5.9,0.504,2.3,6.9,0.339,2.9,3.9,0.752,1.3,4.8,6.1,1.5,1.9,0.4,1.6,2.2,15.8,7.06,2
"9","Trey Burke",9,"9","MIN","Michigan","9","498","10401","4792","878","1522",".410",".345",".810","20.9","9.6","1.8","3.1","12.9",".060","-1.3","1.7",2013,9,73,71,35.7,6,13.3,0.45,4.2,8.3,0.499,1.8,5,0.367,3.1,4,0.777,0.6,2.7,3.3,5.7,1.3,0.5,2.5,1.7,16.9,9.52,2
"10","CJ McCollum",10,"10","POR","Lehigh","11","731","23432","14231","2655","2778",".454",".399",".806","32.1","19.5","3.6","3.8","50.5",".103","1.4","20.3",2013,10,111,108,32.9,6.9,15.7,0.439,5,10.5,0.47,2,5.2,0.377,5.5,6.7,0.825,1.5,4.8,6.3,2.7,2.1,0.5,2.4,1.8,21.3,-5.41,4
"11","Andrew Wiggins",1,"1","CLE","Kansas","10","706","24046","13091","3156","1597",".449",".354",".722","34.1","18.5","4.5","2.3","29.1",".058","-1.5","2.8",2014,1,35,35,32.8,5.4,12.1,0.448,4.2,8.5,0.493,1.2,3.6,0.341,5,6.5,0.775,2.2,3.7,5.9,1.5,1.2,1,2.3,2.7,17.1,11.4,1
"12","Jabari Parker",2,"2","MIL","Duke","8","310","8535","4380","1703","610",".494",".326",".743","27.5","14.1","5.5","2.0","13.8",".078","-0.8","2.5",2014,2,35,35,30.7,6.7,14.3,0.473,5.7,11.2,0.504,1.1,3,0.358,4.6,6.1,0.748,3,5.7,8.7,1.2,1.1,1.2,2.3,2.4,19.1,8.48,1
"13","Joel Embiid",3,"3","PHI","Kansas","8","433","13833","12071","4832","1573",".504",".341",".826","31.9","27.9","11.2","3.6","63.5",".220","7.0","31.4",2014,3,28,20,23.1,3.8,6.1,0.626,3.8,5.9,0.639,0,0.2,0.2,3.5,5.1,0.685,2.3,5.8,8.1,1.4,0.9,2.6,2.4,3.4,11.2,11.4,1
